index,index0,loss,index1,acc,index2,valloss,index3,valacc
63,63.0,0.008058445867217712,63.0,0.23189009159034135,63.0,0.007699279791295304,63.0,0.2172284644194757
64,64.0,0.008298865512484913,64.0,0.23189009159034135,64.0,0.007588897395725555,64.0,0.2172284644194757
65,65.0,0.00831775908746317,65.0,0.23189009159034135,65.0,0.007895261705033341,65.0,0.2172284644194757
66,66.0,0.008251640542048176,66.0,0.23189009159034135,66.0,0.007772936546749502,66.0,0.2172284644194757
67,67.0,0.00806904484833483,67.0,0.23147377185678603,67.0,0.007762746203495434,67.0,0.2172284644194757
68,68.0,0.007915640532889779,68.0,0.23189009159034135,68.0,0.008337699911079268,68.0,0.2172284644194757
69,69.0,0.008361709709717372,69.0,0.23189009159034135,69.0,0.007538853392828158,69.0,0.2172284644194757
70,70.0,0.00824447209574362,70.0,0.23189009159034135,70.0,0.007477821836296874,70.0,0.2172284644194757
71,71.0,0.008261811846035916,71.0,0.23189009159034135,71.0,0.007555896667449663,71.0,0.2172284644194757
72,72.0,0.00796756976289739,72.0,0.23189009159034135,72.0,0.007533368935341135,72.0,0.2172284644194757
73,73.0,0.007944408656841609,73.0,0.23189009159034135,73.0,0.007697159105263064,73.0,0.2172284644194757
74,74.0,0.00810840368258467,74.0,0.23189009159034135,74.0,0.007631650245103163,74.0,0.2172284644194757
75,75.0,0.008218981805766877,75.0,0.23189009159034135,75.0,0.00786059249143643,75.0,0.2172284644194757
76,76.0,0.008132409305931329,76.0,0.23189009159034135,76.0,0.007460813913564111,76.0,0.2172284644194757
77,77.0,0.008097807500281873,77.0,0.23189009159034135,77.0,0.007490870882913972,77.0,0.2172284644194757
78,78.0,0.008277534373642738,78.0,0.23189009159034135,78.0,0.007647371057365158,78.0,0.2172284644194757
79,79.0,0.00826712971402768,79.0,0.23189009159034135,79.0,0.007950734214557244,79.0,0.2172284644194757
80,80.0,0.008201928751901425,80.0,0.23189009159034135,80.0,0.008757690335746004,80.0,0.2172284644194757
81,81.0,0.010996268159821536,81.0,0.23189009159034135,81.0,0.007980236740022451,81.0,0.2172284644194757
82,82.0,0.009818126724142702,82.0,0.23189009159034135,82.0,0.00792929892557279,82.0,0.2172284644194757
83,83.0,0.00962485120929142,83.0,0.23189009159034135,83.0,0.007747186147276494,83.0,0.2172284644194757
84,84.0,0.009226578057469874,84.0,0.23189009159034135,84.0,0.007529242018286542,84.0,0.2172284644194757
85,85.0,0.009027785682844479,85.0,0.23189009159034135,85.0,0.007383451450002215,85.0,0.2172284644194757
86,86.0,0.008636866919849483,86.0,0.23189009159034135,86.0,0.007517573739356652,86.0,0.2172284644194757
87,87.0,0.008450943213058938,87.0,0.23189009159034135,87.0,0.007717606175537413,87.0,0.2172284644194757
88,88.0,0.008302552873585884,88.0,0.23189009159034135,88.0,0.007834557647911015,88.0,0.2172284644194757
89,89.0,0.008253275866168152,89.0,0.23189009159034135,89.0,0.007576874024775366,89.0,0.2172284644194757
90,90.0,0.007971660751263168,90.0,0.23189009159034135,90.0,0.007872251368194038,90.0,0.2172284644194757
91,91.0,0.008595960661396694,91.0,0.23189009159034135,91.0,0.007866158324541447,91.0,0.2172284644194757
