,Tn,Tx,Tavg,RH_avg,ff_x,ddd_x,ddd_car,bulan,RH_avg_5day,RH1,RH2,RH3,ff_x1,ff_x2,ff_x3,RR_avg5_day,RR1,RR2,RR3,RR
860,23.9,29.6,26.0,75.0,10.0,90.0,3,6,80.8,84.0,80.0,77.0,8.0,9.0,9.0,0.52,0.0,2.4,0.0,0.0
861,24.0,30.9,26.3,75.0,9.0,120.0,3,6,79.8,80.0,77.0,75.0,9.0,9.0,10.0,0.52,2.4,0.0,0.0,0.0
862,22.4,30.8,25.3,82.0,8.0,110.0,3,6,78.2,77.0,75.0,75.0,9.0,10.0,9.0,0.48,0.0,0.0,0.0,0.0
863,22.3,29.6,24.8,82.0,8.0,110.0,4,6,77.8,75.0,75.0,82.0,10.0,9.0,8.0,0.48,0.0,0.0,0.0,0.0
864,23.1,31.6,26.0,79.0,8.0,160.0,4,6,78.2,75.0,82.0,82.0,9.0,8.0,8.0,0.0,0.0,0.0,0.0,0.7444444440000001
865,24.4,29.4,25.9,80.0,10.0,110.0,3,6,78.6,82.0,82.0,79.0,8.0,8.0,8.0,0.148888889,0.0,0.0,0.7444444440000001,2.2
866,21.9,29.0,25.2,78.0,10.0,120.0,4,6,79.6,82.0,79.0,80.0,8.0,8.0,10.0,0.588888889,0.0,0.7444444440000001,2.2,0.7444444440000001
867,23.4,28.7,25.6,76.0,9.0,110.0,4,7,80.2,79.0,80.0,78.0,8.0,10.0,10.0,0.737777778,0.7444444440000001,2.2,0.7444444440000001,0.0
868,23.9,28.6,26.4,80.0,10.0,130.0,4,7,79.0,80.0,78.0,76.0,10.0,10.0,9.0,0.737777778,2.2,0.7444444440000001,0.0,0.0
869,24.8,28.6,25.9,78.0,9.0,110.0,4,7,78.6,78.0,76.0,80.0,10.0,9.0,10.0,0.737777778,0.7444444440000001,0.0,0.0,0.0
870,23.3,27.8,24.9,78.0,9.0,130.0,3,7,78.4,76.0,80.0,78.0,9.0,10.0,9.0,0.588888889,0.0,0.0,0.0,0.0
871,23.4,28.1,25.6,80.0,8.0,120.0,3,7,78.0,80.0,78.0,78.0,10.0,9.0,9.0,0.148888889,0.0,0.0,0.0,0.0
872,23.6,28.5,25.2,80.0,8.0,110.0,4,7,78.4,78.0,78.0,80.0,9.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0
873,23.7,27.8,25.5,82.0,8.0,120.0,3,7,79.2,78.0,80.0,80.0,9.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
874,22.5,28.0,25.1,80.0,9.0,120.0,3,7,79.6,80.0,80.0,82.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
875,23.4,28.0,25.3,84.0,7.0,140.0,4,7,80.0,80.0,82.0,80.0,8.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0
876,23.1,28.3,25.2,80.0,7.0,120.0,4,7,81.2,82.0,80.0,84.0,8.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0
877,21.5,28.2,24.2,84.0,7.0,110.0,3,7,81.2,80.0,84.0,80.0,9.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0
878,21.5,28.0,25.5,79.0,9.0,100.0,3,7,82.0,84.0,80.0,84.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0
879,22.2,28.5,25.1,84.0,8.0,140.0,3,7,81.4,80.0,84.0,79.0,7.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0
880,23.1,28.5,25.9,85.0,7.0,100.0,3,7,82.2,84.0,79.0,84.0,7.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0
881,24.0,27.8,25.5,83.0,8.0,100.0,3,7,82.4,79.0,84.0,85.0,9.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0
882,24.2,27.6,24.8,82.0,8.0,130.0,3,7,83.0,84.0,85.0,83.0,8.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0
883,22.7,28.2,24.7,84.0,4.0,90.0,3,7,82.6,85.0,83.0,82.0,7.0,8.0,8.0,0.0,0.0,0.0,0.0,0.16923076899999998
884,22.4,28.2,25.3,84.0,4.0,90.0,3,7,83.6,83.0,82.0,84.0,8.0,8.0,4.0,0.033846153999999996,0.0,0.0,0.16923076899999998,0.0
885,24.0,28.3,25.8,87.0,10.0,110.0,3,7,83.6,82.0,84.0,84.0,8.0,4.0,4.0,0.033846153999999996,0.0,0.16923076899999998,0.0,0.0
886,24.2,27.8,25.2,82.0,8.0,120.0,3,7,84.0,84.0,84.0,87.0,4.0,4.0,10.0,0.033846153999999996,0.16923076899999998,0.0,0.0,0.0
887,24.2,28.1,25.4,81.0,9.0,90.0,3,7,83.8,84.0,87.0,82.0,4.0,10.0,8.0,0.033846153999999996,0.0,0.0,0.0,0.16923076899999998
888,23.8,27.8,25.1,81.0,9.0,110.0,3,7,83.6,87.0,82.0,81.0,10.0,8.0,9.0,0.06769230799999999,0.0,0.0,0.16923076899999998,0.0
889,22.8,28.5,24.5,81.0,8.0,90.0,4,7,83.0,82.0,81.0,81.0,8.0,9.0,9.0,0.033846153999999996,0.0,0.16923076899999998,0.0,0.0
890,22.4,28.3,25.7,80.0,9.0,110.0,3,7,82.4,81.0,81.0,81.0,9.0,9.0,8.0,0.033846153999999996,0.16923076899999998,0.0,0.0,0.0
891,22.0,28.2,25.1,78.0,8.0,140.0,3,7,81.0,81.0,81.0,80.0,9.0,8.0,9.0,0.033846153999999996,0.0,0.0,0.0,0.16923076899999998
892,23.5,28.2,25.4,79.0,8.0,140.0,3,7,80.2,81.0,80.0,78.0,8.0,9.0,8.0,0.06769230799999999,0.0,0.0,0.16923076899999998,0.0
893,21.8,28.2,25.0,80.0,7.0,110.0,4,7,79.8,80.0,78.0,79.0,9.0,8.0,8.0,0.033846153999999996,0.0,0.16923076899999998,0.0,0.0
894,23.0,28.4,24.8,84.0,8.0,120.0,4,7,79.6,78.0,79.0,80.0,8.0,8.0,7.0,0.033846153999999996,0.16923076899999998,0.0,0.0,0.16923076899999998
895,22.0,28.6,25.3,78.0,8.0,100.0,4,7,80.2,79.0,80.0,84.0,8.0,7.0,8.0,0.06769230799999999,0.0,0.0,0.16923076899999998,0.0
896,22.0,28.0,24.4,84.0,8.0,110.0,3,7,79.8,80.0,84.0,78.0,7.0,8.0,8.0,0.06769230799999999,0.0,0.16923076899999998,0.0,4.4
897,21.8,27.8,24.1,79.0,8.0,100.0,3,8,81.0,84.0,78.0,84.0,8.0,8.0,8.0,0.913846154,0.16923076899999998,0.0,4.4,0.0
